131001,Frances Fernandez,0
131002,Venus Bass,0
131003,Christian Fry,1
131004,Gray Hahn,0
131005,Justin Peters,1
131006,Brent Tran,0
131007,Erica Mcdaniel,0
131008,Kylie Vance,0
131009,Marcia Woods,1
131010,Farrah Roberson,1
131011,Farrah Jefferson,0
131012,Daria Mccoy,0
131013,Iona Simmons,0
131014,Mark Nichols,1
131015,Erin Madden,0
131016,Kibo Bowers,0
131017,Aubrey Vaughan,1
131018,Olympia Pollard,0
131019,Callie Parks,1
131020,Burke Patrick,1
131021,Anthony Rosa,0
131022,Cyrus Romero,1
131023,Alea Vaughan,1
131024,Kennedy Richard,0
131025,Alexandra Anderson,0
131026,Lucius Lane,0
131027,Juliet Hahn,1
131028,Theodore Schroeder,1
131029,Melodie Stone,1
131030,Ulla Moreno,1
131031,Ivana Rodriguez,1
131032,Laith Campos,1
131033,Ann Gomez,0
131034,Garth Carroll,1
131035,Zachery Sargent,1
131036,Bradley Barber,0
131037,Zeph Mayer,0
131038,Kennan Freeman,0
131039,Jack Chapman,0
131040,Jerome Levine,1
131041,Elton Manning,0
131042,Sloane Lawson,1
131043,Malachi Dudley,1
131044,Delilah Carroll,0
131045,Vincent Talley,1
131046,Gemma Greer,0
131047,Shelly Harrell,1
131048,Bryar Carey,0
131049,Uma Moran,1
131050,Cally Camacho,1
131051,Deanna Hobbs,1
131052,Leroy Henderson,0
131053,Kristen Bowman,0
131054,Duncan Mccarty,0
131055,Maile Murray,0
131056,Salvador Calhoun,1
131057,Carissa Mcconnell,1
131058,MacKenzie Carver,0
131059,Abdul Talley,1
131060,Hannah Thornton,1
131061,Wayne Hanson,1
131062,Hyatt Gamble,1
131063,Kirsten Salazar,1
131064,Glenna Whitney,0
131065,Germane Contreras,0
131066,Lane Fry,0
131067,Solomon Randall,0
131068,Michelle Harrington,1
131069,April Odonnell,0
131070,Nolan Powers,1
131071,Devin Mckee,0
131072,Angela Alston,1
131073,Ulla Bender,0
131074,Cora Love,0
131075,Clark Cherry,0
131076,Yasir George,1
131077,Chantale Maddox,1
131078,Medge Baxter,0
131079,Noble Morgan,0
131080,Idona Ray,0
131081,Carly Salas,0
131082,Brendan Warner,0
131083,Amaya Norman,0
131084,Leslie Guthrie,0
131085,Acton Richardson,1
131086,Fallon Macdonald,1
131087,Cynthia Salazar,1
131088,Knox Wilkerson,1
131089,Reuben Steele,1
131090,Steel Delacruz,0
131091,Ivory Avery,0
131092,Neil Dennis,1
131093,Olympia Phillips,0
131094,Nathan Washington,1
131095,Cailin Rocha,1
131096,Grant Sampson,1
131097,Gwendolyn Barber,1
131098,Shad Velazquez,0
131099,September Little,0
131100,Xanthus Doyle,0
